Original Multiply-shift: 4.75616
Original Multiply-shift: 2.51705
Original Multiply-shift: 2.51518
Original Multiply-shift: 2.51325
Original Multiply-shift: 2.5101
Original Multiply-shift: 2.51301
Original Multiply-shift: 2.5141
Original Multiply-shift: 2.51292
Original Multiply-shift: 2.51514
Original Multiply-shift: 2.51338
Original Multiply-shift: 2.5134
Original Multiply-shift: 2.51185
Original Multiply-shift: 2.51286
Original Multiply-shift: 2.51316
Original Multiply-shift: 2.514
Original Multiply-shift: 2.5139
Original Multiply-shift: 2.51255
Original Multiply-shift: 2.51403
Original Multiply-shift: 2.51283
Original Multiply-shift: 2.51021
Original Multiply-shift: 2.51176
Original Multiply-shift: 2.51354
Original Multiply-shift: 2.51326
Original Multiply-shift: 2.51311
Original Multiply-shift: 2.5139
Original Multiply-shift: 2.51321
Original Multiply-shift: 2.51336
Original Multiply-shift: 2.51334
Original Multiply-shift: 2.51212
Original Multiply-shift: 2.51181
Original Multiply-shift: 2.5132
Original Multiply-shift: 2.51303
Original Multiply-shift: 2.51322
Original Multiply-shift: 2.51322
Original Multiply-shift: 2.51308
Original Multiply-shift: 2.51283
Original Multiply-shift: 2.51275
Original Multiply-shift: 2.51214
Original Multiply-shift: 2.51022
Original Multiply-shift: 2.51021
Original Multiply-shift: 2.51287
Original Multiply-shift: 2.51156
Original Multiply-shift: 2.51309
Original Multiply-shift: 2.51187
Original Multiply-shift: 2.51265
Original Multiply-shift: 2.51179
Original Multiply-shift: 2.51309
Original Multiply-shift: 2.51168
Original Multiply-shift: 2.51343
Original Multiply-shift: 2.51173
Simd Multiply-shift: 1.77508
Simd Multiply-shift: 1.11682
Simd Multiply-shift: 1.11771
Simd Multiply-shift: 1.11835
Simd Multiply-shift: 1.11648
Simd Multiply-shift: 1.11793
Simd Multiply-shift: 1.11714
Simd Multiply-shift: 1.11749
Simd Multiply-shift: 1.11784
Simd Multiply-shift: 1.11667
Simd Multiply-shift: 1.11788
Simd Multiply-shift: 1.11771
Simd Multiply-shift: 1.11677
Simd Multiply-shift: 1.11785
Simd Multiply-shift: 1.1183
Simd Multiply-shift: 1.11668
Simd Multiply-shift: 1.11813
Simd Multiply-shift: 1.11686
Simd Multiply-shift: 1.11772
Simd Multiply-shift: 1.11782
Simd Multiply-shift: 1.11651
Simd Multiply-shift: 1.11831
Simd Multiply-shift: 1.118
Simd Multiply-shift: 1.11652
Simd Multiply-shift: 1.11809
Simd Multiply-shift: 1.11855
Simd Multiply-shift: 1.11677
Simd Multiply-shift: 1.11682
Simd Multiply-shift: 1.11814
Simd Multiply-shift: 1.11693
Simd Multiply-shift: 1.11763
Simd Multiply-shift: 1.1177
Simd Multiply-shift: 1.11688
Simd Multiply-shift: 1.11809
Simd Multiply-shift: 1.11796
Simd Multiply-shift: 1.11691
Simd Multiply-shift: 1.11817
Simd Multiply-shift: 1.11811
Simd Multiply-shift: 1.11654
Simd Multiply-shift: 1.11799
Simd Multiply-shift: 1.11712
Simd Multiply-shift: 1.11768
Simd Multiply-shift: 1.118
Simd Multiply-shift: 1.1165
Simd Multiply-shift: 1.11817
Simd Multiply-shift: 1.11767
Simd Multiply-shift: 1.11671
Simd Multiply-shift: 1.11817
Simd Multiply-shift: 1.11805
Simd Multiply-shift: 1.11688
